asset_id,label,alt_pos,weight_prod,weight_sum,weight_mean
637059486,0-low-CTR,PROPN,21.63359816223326,106.87628282111594,0.20241720231271956
533955154362948,1-high-CTR,NOUN,21.561491932514034,137.19760368565025,0.15715647615767497
1053461218712766,1-high-CTR,PROPN,20.778839170024572,79.34726377460943,0.2618721576719783
604443458558734,0-low-CTR,NOUN,20.22284551884613,116.05350109131358,0.17425450614311347
1164703987351681,1-high-CTR,NUM,15.946607319506873,32.44188778550739,0.49154375432586955
591032391,1-high-CTR,PRON,11.826853939487926,71.72643490148697,0.16488835609537233
1369759326945764,1-high-CTR,VERB,11.079904558384372,85.77328620711243,0.12917663585408498
1033076374508741,1-high-CTR,ADP,6.672002469175995,48.46178772135785,0.13767553329931206
595637498,0-low-CTR,VERB,5.6972731431223815,49.03314456974634,0.11619228571029938
730068064,0-low-CTR,ADJ,4.276360602699987,33.66356427527389,0.12703231801990147
231803675824053,1-high-CTR,ADJ,4.068342308360554,34.11078861872177,0.11926849167385234
344763714655422,1-high-CTR,SYM,3.783915956572008,4.76481854213065,0.7941364236884416
1137648303682671,1-high-CTR,ADV,3.7673936500086604,28.261058964621903,0.13330688190859388
1232505550959102,1-high-CTR,AUX,3.6602812730416163,29.39092343628933,0.12453781117071751
676492067924155,1-high-CTR,PART,3.433456898347678,17.578712149963973,0.1953190238884886
3263186144004327,1-high-CTR,DET,3.334791238354689,24.568215526207815,0.1357359973823636
595637498,0-low-CTR,PRON,2.5080740365116507,26.40538926337271,0.0949834146164486
1230209027722998,0-low-CTR,ADP,1.9388052319597022,19.838786809878762,0.0977280138417673
732480659,0-low-CTR,DET,1.8758803759302747,17.59318794387462,0.10662538147802801
732330166,1-high-CTR,CCONJ,1.493488182671099,11.529113073334297,0.12954059632959886
1521361898714643,0-low-CTR,SYM,1.3232667155325881,1.6268169629879006,0.8134084814939503
797241272,0-low-CTR,ADV,1.3083364267214876,13.290049571292082,0.0984448116392006
730040656,0-low-CTR,AUX,0.991373775573713,10.769899337604063,0.0920504216889236
515667637004332,0-low-CTR,CCONJ,0.8732032862628227,8.716001715515295,0.10018392776454363
831545379,0-low-CTR,INTJ,0.7980797974992726,5.434054886314002,0.14686634827875683
717349253,1-high-CTR,INTJ,0.6123210534328454,3.499488686745095,0.17497443433725474
4378592672220516,1-high-CTR,SCONJ,0.5070831622467451,6.248632129754429,0.0811510666201874
796814770,0-low-CTR,NUM,0.40097047743247666,4.103749511381515,0.09770832169955987
816145524,0-low-CTR,PART,0.3572294745309845,4.268337287642603,0.08369288799299221
909229613548764,0-low-CTR,X,0.28165717583457,2.8579814728585156,0.0985510852709833
730068064,0-low-CTR,SCONJ,0.22877754248289464,3.1364684482335337,0.07294112670310543
589588330,1-high-CTR,X,0.2286879148363023,1.5122430850769406,0.15122430850769406
590790846,0-low-CTR,EX,0.09915509444538115,0.5454037800897088,0.18180126002990293
777008589651045,1-high-CTR,EX,0.04904723244568525,0.6264007180435556,0.07830008975544445
